not enough args for isData
19-Oct-2021 12:05:38 CDT  Initiating request to open file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
19-Oct-2021 12:05:39 CDT  Successfully opened file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
5
6
7
-----------------------------------------
----- MUON -----
Inner track (eta,phi,pt) = 0.203592,	-1.33129,	130.995
Onner track (eta,phi,pt) = 0.201416,	-1.33274,	119.511
1
2
3
4
otracketa failed... breaking
1
2
3
4
otracketa failed... breaking
itracketa failed... breaking
-----------------------------------------


-----------------------------------------
--------------- MET ---------------------
MET pt = 58.045,	 phi = -1.33938
-----------------------------------------


-----------------------------------------
----------- BLOCK 0 with 1 Elements -------------
*** ELEMENT 0 of type 1
****** TRACK Element with (eta,phi,pt,etaEcal,phiEcal) = 0.484132,	1.64758,	0.368038,	2.48586,	2.66071
    ECAL (ieta,iphi) = 142.549,	162.541
-----------------------------------------
----------- BLOCK 1 with 1 Elements -------------
*** ELEMENT 0 of type 1
-----------------------------------------
----------- BLOCK 2 with 1 Elements -------------
*** ELEMENT 0 of type 1
****** TRACK Element with (eta,phi,pt,etaEcal,phiEcal) = -0.0527777,	0.580156,	0.226584,	0,	0
    ECAL (ieta,iphi) = 0.5,	369.539
-----------------------------------------
----------- BLOCK 3 with 1 Elements -------------
*** ELEMENT 0 of type 1
****** TRACK Element with (eta,phi,pt,etaEcal,phiEcal) = 0.281649,	-0.144578,	0.269642,	0,	0
    ECAL (ieta,iphi) = 0.5,	369.539
-----------------------------------------
----------- BLOCK 4 with 1 Elements -------------
*** ELEMENT 0 of type 1
-----------------------------------------
----------- BLOCK 5 with 1 Elements -------------
*** ELEMENT 0 of type 1
****** TRACK Element with (eta,phi,pt,etaEcal,phiEcal) = 0.237199,	-0.290532,	0.213639,	2.9556,	-1.44698
    ECAL (ieta,iphi) = 169.392,	286.855
-----------------------------------------
----------- BLOCK 6 with 1 Elements -------------
*** ELEMENT 0 of type 1
-----------------------------------------
----------- BLOCK 7 with 1 Elements -------------
*** ELEMENT 0 of type 1
****** TRACK Element with (eta,phi,pt,etaEcal,phiEcal) = -0.224554,	-0.734158,	0.304748,	0,	0
    ECAL (ieta,iphi) = 0.5,	369.539
-----------------------------------------
----------- BLOCK 8 with 1 Elements -------------
*** ELEMENT 0 of type 1
****** TRACK Element with (eta,phi,pt,etaEcal,phiEcal) = -0.353163,	-0.673217,	0.167488,	0,	0
    ECAL (ieta,iphi) = 0.5,	369.539
-----------------------------------------
----------- BLOCK 9 with 120 Elements -------------
*** ELEMENT 0 of type 5
*** ELEMENT 1 of type 5
*** ELEMENT 2 of type 5
*** ELEMENT 3 of type 5
*** ELEMENT 4 of type 5
*** ELEMENT 5 of type 5
*** ELEMENT 6 of type 5
*** ELEMENT 7 of type 5
*** ELEMENT 8 of type 5
*** ELEMENT 9 of type 5
*** ELEMENT 10 of type 5
*** ELEMENT 11 of type 5
*** ELEMENT 12 of type 5
*** ELEMENT 13 of type 5
*** ELEMENT 14 of type 5
*** ELEMENT 15 of type 5
*** ELEMENT 16 of type 5
*** ELEMENT 17 of type 5
*** ELEMENT 18 of type 5
*** ELEMENT 19 of type 5
*** ELEMENT 20 of type 5
*** ELEMENT 21 of type 5
*** ELEMENT 22 of type 5
*** ELEMENT 23 of type 5
*** ELEMENT 24 of type 5
*** ELEMENT 25 of type 5
*** ELEMENT 26 of type 5
*** ELEMENT 27 of type 5
*** ELEMENT 28 of type 5
*** ELEMENT 29 of type 5
